Jurusan,Bidang,Deskripsi,Minat,Keywords,combined_text
Fisika ,Matematika dan Ilmu Pengetahuan Alam,"Jurusan ini mempelajari fenomena alam, energi, gerak, dan teknologi berbasis prinsip fisika. Mahasiswa banyak melakukan eksperimen dan analisis ilmiah.","analitis, suka sains, logis, suka eksperimen, teliti, suka penelitian","mekanika, listrik, gelombang, termodinamika, fisika modern, laboratorium fisika","Jurusan ini mempelajari fenomena alam, energi, gerak, dan teknologi berbasis prinsip fisika. Mahasiswa banyak melakukan eksperimen dan analisis ilmiah. Jurusan ini cocok untuk kamu yang analitis, suka sains, logis, suka eksperimen, teliti, suka penelitian. Topik utama yang dipelajari antara lain: mekanika, listrik, gelombang, termodinamika, fisika modern, laboratorium fisika."
Kimia,Matematika dan Ilmu Pengetahuan Alam,"Jurusan ini mempelajari struktur, sifat, dan reaksi zat dalam berbagai proses kimia. Mahasiswa belajar melalui praktikum laboratorium dan penelitian.","suka sains, teliti, analitis, suka praktikum, suka eksperimen, disiplin","kimia organik, kimia anorganik, laboratorium kimia, reaksi kimia, analisis kimia, biokimia","Jurusan ini mempelajari struktur, sifat, dan reaksi zat dalam berbagai proses kimia. Mahasiswa belajar melalui praktikum laboratorium dan penelitian. Jurusan ini cocok untuk kamu yang suka sains, teliti, analitis, suka praktikum, suka eksperimen, disiplin. Topik utama yang dipelajari antara lain: kimia organik, kimia anorganik, laboratorium kimia, reaksi kimia, analisis kimia, biokimia."
Biologi,Matematika dan Ilmu Pengetahuan Alam,"Jurusan ini mempelajari makhluk hidup, lingkungan, dan proses kehidupan secara ilmiah. Mahasiswa banyak melakukan observasi dan penelitian.","suka alam, suka sains, observatif, teliti, suka penelitian, suka laboratorium","genetika, ekologi, mikrobiologi, biologi sel, anatomi, bioteknologi","Jurusan ini mempelajari makhluk hidup, lingkungan, dan proses kehidupan secara ilmiah. Mahasiswa banyak melakukan observasi dan penelitian. Jurusan ini cocok untuk kamu yang suka alam, suka sains, observatif, teliti, suka penelitian, suka laboratorium. Topik utama yang dipelajari antara lain: genetika, ekologi, mikrobiologi, biologi sel, anatomi, bioteknologi."
Aktuaria,Matematika dan Ilmu Pengetahuan Alam,"Jurusan ini mempelajari analisis risiko, probabilitas, dan pengelolaan keuangan menggunakan matematika dan statistik. Mahasiswa dilatih menganalisis data dan risiko.","suka angka, analitis, logis, teliti, suka analisis data, terstruktur","probabilitas, statistik, analisis risiko, matematika keuangan, asuransi, aktuaria","Jurusan ini mempelajari analisis risiko, probabilitas, dan pengelolaan keuangan menggunakan matematika dan statistik. Mahasiswa dilatih menganalisis data dan risiko. Jurusan ini cocok untuk kamu yang suka angka, analitis, logis, teliti, suka analisis data, terstruktur. Topik utama yang dipelajari antara lain: probabilitas, statistik, analisis risiko, matematika keuangan, asuransi, aktuaria."
Mikrobiologi,Matematika dan Ilmu Pengetahuan Alam,"Jurusan ini mempelajari mikroorganisme seperti bakteri, virus, dan jamur serta perannya dalam kesehatan dan lingkungan. Mahasiswa banyak melakukan praktikum laboratorium.","suka sains, teliti, suka laboratorium, observatif, analitis, suka penelitian","mikroorganisme, bakteri, virus, laboratorium mikrobiologi, bioteknologi, imunologi","Jurusan ini mempelajari mikroorganisme seperti bakteri, virus, dan jamur serta perannya dalam kesehatan dan lingkungan. Mahasiswa banyak melakukan praktikum laboratorium. Jurusan ini cocok untuk kamu yang suka sains, teliti, suka laboratorium, observatif, analitis, suka penelitian. Topik utama yang dipelajari antara lain: mikroorganisme, bakteri, virus, laboratorium mikrobiologi, bioteknologi, imunologi."
Desain Interior,Seni,"Jurusan ini mempelajari perancangan ruang yang nyaman, estetis, dan fungsional. Mahasiswa belajar membuat konsep desain dan visualisasi ruang.","kreatif, suka desain, imajinatif, teliti, suka menggambar, suka estetika","desain ruang, interior, tata ruang, visualisasi desain, furnitur, estetika","Jurusan ini mempelajari perancangan ruang yang nyaman, estetis, dan fungsional. Mahasiswa belajar membuat konsep desain dan visualisasi ruang. Jurusan ini cocok untuk kamu yang kreatif, suka desain, imajinatif, teliti, suka menggambar, suka estetika. Topik utama yang dipelajari antara lain: desain ruang, interior, tata ruang, visualisasi desain, furnitur, estetika."
Desain Produk,Seni,"Jurusan ini mempelajari proses merancang produk yang fungsional dan menarik. Mahasiswa belajar desain, kreativitas, dan pengembangan produk.","kreatif, inovatif, suka desain, suka problem solving, imajinatif, observatif","desain produk, pengembangan produk, sketsa desain, material produk, desain industri, kreativitas","Jurusan ini mempelajari proses merancang produk yang fungsional dan menarik. Mahasiswa belajar desain, kreativitas, dan pengembangan produk. Jurusan ini cocok untuk kamu yang kreatif, inovatif, suka desain, suka problem solving, imajinatif, observatif. Topik utama yang dipelajari antara lain: desain produk, pengembangan produk, sketsa desain, material produk, desain industri, kreativitas."
Furniture Design,Seni,"Jurusan ini mempelajari desain dan pembuatan furnitur yang estetis dan fungsional. Mahasiswa belajar tentang bentuk, material, dan ergonomi.","kreatif, suka desain, teliti, suka kerajinan, imajinatif, suka estetika","furnitur, desain mebel, ergonomi, material kayu, desain interior, produk furnitur","Jurusan ini mempelajari desain dan pembuatan furnitur yang estetis dan fungsional. Mahasiswa belajar tentang bentuk, material, dan ergonomi. Jurusan ini cocok untuk kamu yang kreatif, suka desain, teliti, suka kerajinan, imajinatif, suka estetika. Topik utama yang dipelajari antara lain: furnitur, desain mebel, ergonomi, material kayu, desain interior, produk furnitur."
Tata Boga,Seni,"Jurusan ini mempelajari pengolahan makanan, teknik memasak, dan penyajian kuliner. Mahasiswa banyak praktik memasak dan pengembangan menu.","kreatif, suka memasak, teliti, suka praktik, disiplin, suka kuliner","kuliner, pengolahan makanan, teknik memasak, pastry, tata hidang, manajemen dapur","Jurusan ini mempelajari pengolahan makanan, teknik memasak, dan penyajian kuliner. Mahasiswa banyak praktik memasak dan pengembangan menu. Jurusan ini cocok untuk kamu yang kreatif, suka memasak, teliti, suka praktik, disiplin, suka kuliner. Topik utama yang dipelajari antara lain: kuliner, pengolahan makanan, teknik memasak, pastry, tata hidang, manajemen dapur."
Desain Grafis,Seni,"Jurusan ini mempelajari komunikasi visual melalui gambar, ilustrasi, dan media digital. Mahasiswa belajar membuat desain kreatif untuk berbagai media.","kreatif, suka desain, imajinatif, suka teknologi, observatif, suka visual","ilustrasi digital, tipografi, desain visual, komunikasi visual, perangkat lunak desain, branding","Jurusan ini mempelajari komunikasi visual melalui gambar, ilustrasi, dan media digital. Mahasiswa belajar membuat desain kreatif untuk berbagai media. Jurusan ini cocok untuk kamu yang kreatif, suka desain, imajinatif, suka teknologi, observatif, suka visual. Topik utama yang dipelajari antara lain: ilustrasi digital, tipografi, desain visual, komunikasi visual, perangkat lunak desain, branding."
Animasi,Seni,"Jurusan ini mempelajari pembuatan gambar bergerak, karakter, dan visual digital untuk media hiburan. Mahasiswa belajar desain karakter dan produksi animasi.","kreatif, imajinatif, suka menggambar, suka teknologi, suka visual, teliti","animasi digital, desain karakter, storyboard, visual efek, animasi tiga dimensi, ilustrasi","Jurusan ini mempelajari pembuatan gambar bergerak, karakter, dan visual digital untuk media hiburan. Mahasiswa belajar desain karakter dan produksi animasi. Jurusan ini cocok untuk kamu yang kreatif, imajinatif, suka menggambar, suka teknologi, suka visual, teliti. Topik utama yang dipelajari antara lain: animasi digital, desain karakter, storyboard, visual efek, animasi tiga dimensi, ilustrasi."
Desain Komunikasi Visual (DKV),Seni,"Jurusan ini mempelajari penyampaian pesan melalui media visual yang kreatif dan komunikatif. Mahasiswa belajar desain, ilustrasi, dan branding.","kreatif, komunikatif, suka desain, imajinatif, observatif, suka media visual","branding, ilustrasi, tipografi, desain visual, media digital, komunikasi visual","Jurusan ini mempelajari penyampaian pesan melalui media visual yang kreatif dan komunikatif. Mahasiswa belajar desain, ilustrasi, dan branding. Jurusan ini cocok untuk kamu yang kreatif, komunikatif, suka desain, imajinatif, observatif, suka media visual. Topik utama yang dipelajari antara lain: branding, ilustrasi, tipografi, desain visual, media digital, komunikasi visual."
Film dan Televisi,Seni,"Jurusan ini mempelajari produksi film, penyiaran, dan media audiovisual. Mahasiswa belajar proses produksi dari penulisan hingga editing.","kreatif, komunikatif, suka media, suka kerja tim, imajinatif, observatif","film, penyiaran, editing video, produksi media, sinematografi, penulisan naskah","Jurusan ini mempelajari produksi film, penyiaran, dan media audiovisual. Mahasiswa belajar proses produksi dari penulisan hingga editing. Jurusan ini cocok untuk kamu yang kreatif, komunikatif, suka media, suka kerja tim, imajinatif, observatif. Topik utama yang dipelajari antara lain: film, penyiaran, editing video, produksi media, sinematografi, penulisan naskah."
Fotografi,Seni,"Jurusan ini mempelajari teknik pengambilan gambar dan komunikasi visual melalui fotografi. Mahasiswa belajar komposisi, pencahayaan, dan editing foto.","kreatif, observatif, suka visual, teliti, suka teknologi, imajinatif","fotografi, pencahayaan, kamera digital, editing foto, komposisi visual, fotografi studio","Jurusan ini mempelajari teknik pengambilan gambar dan komunikasi visual melalui fotografi. Mahasiswa belajar komposisi, pencahayaan, dan editing foto. Jurusan ini cocok untuk kamu yang kreatif, observatif, suka visual, teliti, suka teknologi, imajinatif. Topik utama yang dipelajari antara lain: fotografi, pencahayaan, kamera digital, editing foto, komposisi visual, fotografi studio."
Seni Musik,Seni,"Jurusan ini mempelajari teori musik, praktik bermusik, dan pertunjukan musik. Mahasiswa belajar teknik bermain musik dan produksi karya musik.","kreatif, suka musik, ekspresif, disiplin, suka tampil, imajinatif","komposisi musik, teori musik, alat musik, pertunjukan musik, produksi musik, aransemen","Jurusan ini mempelajari teori musik, praktik bermusik, dan pertunjukan musik. Mahasiswa belajar teknik bermain musik dan produksi karya musik. Jurusan ini cocok untuk kamu yang kreatif, suka musik, ekspresif, disiplin, suka tampil, imajinatif. Topik utama yang dipelajari antara lain: komposisi musik, teori musik, alat musik, pertunjukan musik, produksi musik, aransemen."
Seni Rupa,Seni,"Jurusan ini mempelajari seni visual seperti lukisan, patung, dan karya artistik lainnya. Mahasiswa belajar mengekspresikan ide melalui karya seni.","kreatif, imajinatif, suka menggambar, ekspresif, observatif, suka seni","lukisan, seni visual, patung, ilustrasi, pameran seni, karya artistik","Jurusan ini mempelajari seni visual seperti lukisan, patung, dan karya artistik lainnya. Mahasiswa belajar mengekspresikan ide melalui karya seni. Jurusan ini cocok untuk kamu yang kreatif, imajinatif, suka menggambar, ekspresif, observatif, suka seni. Topik utama yang dipelajari antara lain: lukisan, seni visual, patung, ilustrasi, pameran seni, karya artistik."
Seni Tari,Seni,"Jurusan ini mempelajari gerak tari, koreografi, dan pertunjukan seni tari. Mahasiswa belajar teknik tari dan ekspresi artistik.","suka menari, ekspresif, disiplin, kreatif, percaya diri, suka pertunjukan","koreografi, tari tradisional, tari modern, pertunjukan tari, seni pertunjukan, gerak tari","Jurusan ini mempelajari gerak tari, koreografi, dan pertunjukan seni tari. Mahasiswa belajar teknik tari dan ekspresi artistik. Jurusan ini cocok untuk kamu yang suka menari, ekspresif, disiplin, kreatif, percaya diri, suka pertunjukan. Topik utama yang dipelajari antara lain: koreografi, tari tradisional, tari modern, pertunjukan tari, seni pertunjukan, gerak tari."
Tata Busana,Seni,"Jurusan ini mempelajari desain pakaian, pola busana, dan industri fashion. Mahasiswa belajar membuat desain dan produksi pakaian.","kreatif, suka fashion, teliti, imajinatif, suka desain, suka kerajinan","fashion, desain busana, pola pakaian, tekstil, jahit busana, industri fashion","Jurusan ini mempelajari desain pakaian, pola busana, dan industri fashion. Mahasiswa belajar membuat desain dan produksi pakaian. Jurusan ini cocok untuk kamu yang kreatif, suka fashion, teliti, imajinatif, suka desain, suka kerajinan. Topik utama yang dipelajari antara lain: fashion, desain busana, pola pakaian, tekstil, jahit busana, industri fashion."
Teknik Pertambangan,Teknik,"Jurusan ini mempelajari eksplorasi, pengelolaan, dan pengolahan sumber daya tambang. Mahasiswa belajar teknik pertambangan, keselamatan kerja, dan kegiatan lapangan di area tambang.","analitis, suka teknologi, suka kegiatan lapangan, logis, suka problem solving, teliti, suka eksplorasi, disiplin","pertambangan, eksplorasi mineral, geoteknik, keselamatan tambang, pengolahan mineral, tambang bawah tanah, tambang terbuka, sumber daya alam","Jurusan ini mempelajari eksplorasi, pengelolaan, dan pengolahan sumber daya tambang. Mahasiswa belajar teknik pertambangan, keselamatan kerja, dan kegiatan lapangan di area tambang. Jurusan ini cocok untuk kamu yang analitis, suka teknologi, suka kegiatan lapangan, logis, suka problem solving, teliti, suka eksplorasi, disiplin. Topik utama yang dipelajari antara lain: pertambangan, eksplorasi mineral, geoteknik, keselamatan tambang, pengolahan mineral, tambang bawah tanah, tambang terbuka, sumber daya alam."
Teknik Kelautan,Teknik,"Jurusan ini mempelajari teknologi dan konstruksi di wilayah laut serta pengelolaan sumber daya kelautan. Mahasiswa belajar tentang struktur pantai, lingkungan laut, dan rekayasa kelautan.","suka teknologi, suka laut, analitis, suka kegiatan lapangan, observatif, suka penelitian, logis, problem solving","rekayasa kelautan, struktur pantai, oseanografi, pelabuhan, lingkungan laut, konstruksi laut, gelombang laut, teknik pantai","Jurusan ini mempelajari teknologi dan konstruksi di wilayah laut serta pengelolaan sumber daya kelautan. Mahasiswa belajar tentang struktur pantai, lingkungan laut, dan rekayasa kelautan. Jurusan ini cocok untuk kamu yang suka teknologi, suka laut, analitis, suka kegiatan lapangan, observatif, suka penelitian, logis, problem solving. Topik utama yang dipelajari antara lain: rekayasa kelautan, struktur pantai, oseanografi, pelabuhan, lingkungan laut, konstruksi laut, gelombang laut, teknik pantai."
Teknik Perencanaan Wilayah dan Kota (Planologi),Teknik,"Jurusan ini mempelajari perencanaan tata kota, transportasi, dan pembangunan wilayah. Mahasiswa belajar membuat rancangan kota yang teratur, nyaman, dan berkelanjutan.","analitis, kreatif, suka perencanaan, peduli lingkungan, suka analisis data, komunikatif, observatif, problem solving","tata kota, transportasi, pembangunan wilayah, perencanaan kota, tata ruang, sistem perkotaan, lingkungan perkotaan, pemetaan wilayah","Jurusan ini mempelajari perencanaan tata kota, transportasi, dan pembangunan wilayah. Mahasiswa belajar membuat rancangan kota yang teratur, nyaman, dan berkelanjutan. Jurusan ini cocok untuk kamu yang analitis, kreatif, suka perencanaan, peduli lingkungan, suka analisis data, komunikatif, observatif, problem solving. Topik utama yang dipelajari antara lain: tata kota, transportasi, pembangunan wilayah, perencanaan kota, tata ruang, sistem perkotaan, lingkungan perkotaan, pemetaan wilayah."
Teknik Lingkungan,Teknik,"Jurusan ini mempelajari pengelolaan lingkungan, pengolahan limbah, dan pengendalian pencemaran. Mahasiswa belajar mencari solusi terhadap masalah lingkungan dan kesehatan masyarakat.","peduli lingkungan, analitis, suka sains, suka penelitian, observatif, problem solving, suka kegiatan lapangan, teliti","pengolahan limbah, pencemaran lingkungan, udara, bising, sanitasi, kesehatan lingkungan, kualitas air, kualitas udara, pengelolaan lingkungan, rekayasa lingkungan","Jurusan ini mempelajari pengelolaan lingkungan, pengolahan limbah, dan pengendalian pencemaran. Mahasiswa belajar mencari solusi terhadap masalah lingkungan dan kesehatan masyarakat. Jurusan ini cocok untuk kamu yang peduli lingkungan, analitis, suka sains, suka penelitian, observatif, problem solving, suka kegiatan lapangan, teliti. Topik utama yang dipelajari antara lain: pengolahan limbah, pencemaran lingkungan, udara, bising, sanitasi, kesehatan lingkungan, kualitas air, kualitas udara, pengelolaan lingkungan, rekayasa lingkungan."
Teknik Metalurgi ,Teknik,Jurusan ini mempelajari pengolahan logam dan material untuk kebutuhan industri. Mahasiswa belajar karakteristik material dan proses produksi logam.,"analitis, suka teknologi, suka eksperimen, teliti, logis, suka penelitian, suka praktikum, problem solving","metalurgi, material logam, pengolahan logam, material industri, korosi, ekstraksi logam, rekayasa material, manufaktur","Jurusan ini mempelajari pengolahan logam dan material untuk kebutuhan industri. Mahasiswa belajar karakteristik material dan proses produksi logam. Jurusan ini cocok untuk kamu yang analitis, suka teknologi, suka eksperimen, teliti, logis, suka penelitian, suka praktikum, problem solving. Topik utama yang dipelajari antara lain: metalurgi, material logam, pengolahan logam, material industri, korosi, ekstraksi logam, rekayasa material, manufaktur."
Teknik Sipil,Teknik,"Jurusan ini mempelajari perencanaan dan pembangunan infrastruktur seperti jalan, jembatan, dan gedung. Mahasiswa belajar desain struktur dan konstruksi.","analitis, suka teknologi, logis, suka konstruksi, teliti, problem solving, suka perhitungan, disiplin","konstruksi bangunan, struktur beton, teknik jalan, jembatan, manajemen proyek, hidrologi, gambar teknik, rekayasa sipil","Jurusan ini mempelajari perencanaan dan pembangunan infrastruktur seperti jalan, jembatan, dan gedung. Mahasiswa belajar desain struktur dan konstruksi. Jurusan ini cocok untuk kamu yang analitis, suka teknologi, logis, suka konstruksi, teliti, problem solving, suka perhitungan, disiplin. Topik utama yang dipelajari antara lain: konstruksi bangunan, struktur beton, teknik jalan, jembatan, manajemen proyek, hidrologi, gambar teknik, rekayasa sipil."
Arsitektur,Teknik,"Jurusan ini mempelajari perancangan bangunan yang estetis, aman, dan fungsional. Mahasiswa belajar desain bangunan, tata ruang, dan visualisasi arsitektur.","kreatif, suka desain, imajinatif, teliti, suka menggambar, observatif, suka estetika, problem solving","desain bangunan, tata ruang, arsitektur, gambar teknik, visualisasi desain, konstruksi bangunan, desain interior, urban design","Jurusan ini mempelajari perancangan bangunan yang estetis, aman, dan fungsional. Mahasiswa belajar desain bangunan, tata ruang, dan visualisasi arsitektur. Jurusan ini cocok untuk kamu yang kreatif, suka desain, imajinatif, teliti, suka menggambar, observatif, suka estetika, problem solving. Topik utama yang dipelajari antara lain: desain bangunan, tata ruang, arsitektur, gambar teknik, visualisasi desain, konstruksi bangunan, desain interior, urban design."
Teknik Geodesi,Teknik,"Jurusan ini mempelajari pemetaan, pengukuran bumi, dan teknologi geospasial. Mahasiswa belajar survei lapangan dan pengolahan data spasial.","teliti, suka teknologi, analitis, suka pemetaan, suka kegiatan lapangan, logis, observatif, suka analisis data","pemetaan, survei tanah, sistem informasi geografis, geospasial, penginderaan jauh, geodesi, pemetaan digital, data spasial","Jurusan ini mempelajari pemetaan, pengukuran bumi, dan teknologi geospasial. Mahasiswa belajar survei lapangan dan pengolahan data spasial. Jurusan ini cocok untuk kamu yang teliti, suka teknologi, analitis, suka pemetaan, suka kegiatan lapangan, logis, observatif, suka analisis data. Topik utama yang dipelajari antara lain: pemetaan, survei tanah, sistem informasi geografis, geospasial, penginderaan jauh, geodesi, pemetaan digital, data spasial."
Teknik Elektro,Teknik,"Jurusan ini mempelajari listrik, elektronika, dan sistem tenaga. Mahasiswa belajar merancang dan mengembangkan teknologi elektronik.","analitis, suka teknologi, logis, suka eksperimen, teliti, suka pemrograman, problem solving, suka elektronika","elektronika, sistem tenaga listrik, rangkaian listrik, instrumentasi, robotika, telekomunikasi, sistem kontrol, energi listrik","Jurusan ini mempelajari listrik, elektronika, dan sistem tenaga. Mahasiswa belajar merancang dan mengembangkan teknologi elektronik. Jurusan ini cocok untuk kamu yang analitis, suka teknologi, logis, suka eksperimen, teliti, suka pemrograman, problem solving, suka elektronika. Topik utama yang dipelajari antara lain: elektronika, sistem tenaga listrik, rangkaian listrik, instrumentasi, robotika, telekomunikasi, sistem kontrol, energi listrik."
Teknik Mesin,Teknik,"Jurusan ini mempelajari mesin, energi, dan sistem mekanik dalam industri. Mahasiswa belajar desain mesin dan proses manufaktur.","suka mesin, analitis, suka teknologi, logis, suka praktik, problem solving, teliti, suka eksperimen","mesin industri, manufaktur, energi, desain mesin, termodinamika, sistem mekanik, teknik produksi, material teknik","Jurusan ini mempelajari mesin, energi, dan sistem mekanik dalam industri. Mahasiswa belajar desain mesin dan proses manufaktur. Jurusan ini cocok untuk kamu yang suka mesin, analitis, suka teknologi, logis, suka praktik, problem solving, teliti, suka eksperimen. Topik utama yang dipelajari antara lain: mesin industri, manufaktur, energi, desain mesin, termodinamika, sistem mekanik, teknik produksi, material teknik."
Teknik Industri,Teknik,"Jurusan ini mempelajari efisiensi sistem kerja, produksi, dan manajemen industri. Mahasiswa belajar analisis sistem dan optimasi proses kerja.","analitis, suka sistem kerja, problem solving, suka manajemen, teliti, komunikatif, suka analisis data, terstruktur","manajemen industri, optimasi produksi, ergonomi, rantai pasok, sistem manufaktur, analisis sistem, kualitas produksi, efisiensi kerja","Jurusan ini mempelajari efisiensi sistem kerja, produksi, dan manajemen industri. Mahasiswa belajar analisis sistem dan optimasi proses kerja. Jurusan ini cocok untuk kamu yang analitis, suka sistem kerja, problem solving, suka manajemen, teliti, komunikatif, suka analisis data, terstruktur. Topik utama yang dipelajari antara lain: manajemen industri, optimasi produksi, ergonomi, rantai pasok, sistem manufaktur, analisis sistem, kualitas produksi, efisiensi kerja."
Teknik Kimia,Teknik,Jurusan ini mempelajari proses kimia dalam industri dan pengolahan bahan. Mahasiswa belajar desain proses produksi dan teknologi industri.,"suka kimia, analitis, suka teknologi, teliti, suka praktikum, problem solving, logis, suka penelitian","proses kimia, reaktor kimia, teknologi industri, pengolahan bahan, termodinamika, perpindahan massa, industri kimia, rekayasa proses","Jurusan ini mempelajari proses kimia dalam industri dan pengolahan bahan. Mahasiswa belajar desain proses produksi dan teknologi industri. Jurusan ini cocok untuk kamu yang suka kimia, analitis, suka teknologi, teliti, suka praktikum, problem solving, logis, suka penelitian. Topik utama yang dipelajari antara lain: proses kimia, reaktor kimia, teknologi industri, pengolahan bahan, termodinamika, perpindahan massa, industri kimia, rekayasa proses."
Teknik Fisika,Teknik,Jurusan ini mempelajari penerapan prinsip fisika dalam teknologi dan industri. Mahasiswa belajar instrumentasi dan sistem teknologi modern.,"analitis, suka fisika, logis, suka teknologi, suka eksperimen, problem solving, teliti, suka penelitian","instrumentasi, sistem kontrol, fisika industri, sensor, otomasi industri, energi, elektronika, rekayasa teknologi","Jurusan ini mempelajari penerapan prinsip fisika dalam teknologi dan industri. Mahasiswa belajar instrumentasi dan sistem teknologi modern. Jurusan ini cocok untuk kamu yang analitis, suka fisika, logis, suka teknologi, suka eksperimen, problem solving, teliti, suka penelitian. Topik utama yang dipelajari antara lain: instrumentasi, sistem kontrol, fisika industri, sensor, otomasi industri, energi, elektronika, rekayasa teknologi."
Teknik Sistem Perkapalan,Teknik,Jurusan ini mempelajari sistem mekanik dan kelistrikan pada kapal. Mahasiswa belajar teknologi operasional kapal dan sistem maritim modern.,"suka teknologi, analitis, logis, suka mesin, suka kelautan, problem solving, teliti, suka praktik","sistem kapal, mesin kapal, kelistrikan kapal, teknologi maritim, operasional kapal, perkapalan, sistem mekanik, teknik kelautan","Jurusan ini mempelajari sistem mekanik dan kelistrikan pada kapal. Mahasiswa belajar teknologi operasional kapal dan sistem maritim modern. Jurusan ini cocok untuk kamu yang suka teknologi, analitis, logis, suka mesin, suka kelautan, problem solving, teliti, suka praktik. Topik utama yang dipelajari antara lain: sistem kapal, mesin kapal, kelistrikan kapal, teknologi maritim, operasional kapal, perkapalan, sistem mekanik, teknik kelautan."
Teknik Pengairan,Teknik,Jurusan ini mempelajari pengelolaan sumber daya air dan sistem irigasi. Mahasiswa belajar perencanaan jaringan air dan pengendalian banjir.,"analitis, suka lingkungan, suka perhitungan, teliti, suka kegiatan lapangan, problem solving, suka teknologi, observatif","irigasi, hidrologi, sumber daya air, pengendalian banjir, jaringan air, bendungan, drainase, teknik pengairan","Jurusan ini mempelajari pengelolaan sumber daya air dan sistem irigasi. Mahasiswa belajar perencanaan jaringan air dan pengendalian banjir. Jurusan ini cocok untuk kamu yang analitis, suka lingkungan, suka perhitungan, teliti, suka kegiatan lapangan, problem solving, suka teknologi, observatif. Topik utama yang dipelajari antara lain: irigasi, hidrologi, sumber daya air, pengendalian banjir, jaringan air, bendungan, drainase, teknik pengairan."
Teknik Biomedis,Teknik,Jurusan ini mempelajari teknologi alat kesehatan dan penerapan teknik di bidang medis. Mahasiswa belajar mengembangkan perangkat kesehatan dan sistem medis.,"suka teknologi, suka kesehatan, analitis, logis, suka eksperimen, teliti, problem solving, suka inovasi","alat kesehatan, teknologi medis, biomedis, instrumentasi medis, sistem kesehatan, elektronika medis, rekayasa kesehatan, perangkat medis","Jurusan ini mempelajari teknologi alat kesehatan dan penerapan teknik di bidang medis. Mahasiswa belajar mengembangkan perangkat kesehatan dan sistem medis. Jurusan ini cocok untuk kamu yang suka teknologi, suka kesehatan, analitis, logis, suka eksperimen, teliti, problem solving, suka inovasi. Topik utama yang dipelajari antara lain: alat kesehatan, teknologi medis, biomedis, instrumentasi medis, sistem kesehatan, elektronika medis, rekayasa kesehatan, perangkat medis."
Teknik Geologi,Teknik,"Jurusan ini mempelajari struktur bumi, batuan, dan proses geologi. Mahasiswa banyak melakukan penelitian dan observasi lapangan.","suka alam, suka eksplorasi, analitis, observatif, suka penelitian, suka kegiatan lapangan, logis, teliti","geologi, batuan, mineral, eksplorasi bumi, geoteknik, vulkanologi, struktur bumi, geologi lingkungan","Jurusan ini mempelajari struktur bumi, batuan, dan proses geologi. Mahasiswa banyak melakukan penelitian dan observasi lapangan. Jurusan ini cocok untuk kamu yang suka alam, suka eksplorasi, analitis, observatif, suka penelitian, suka kegiatan lapangan, logis, teliti. Topik utama yang dipelajari antara lain: geologi, batuan, mineral, eksplorasi bumi, geoteknik, vulkanologi, struktur bumi, geologi lingkungan."
Teknik Nuklir,Teknik,Jurusan ini mempelajari pemanfaatan energi nuklir dan teknologi radiasi untuk berbagai kebutuhan industri dan kesehatan. Mahasiswa belajar sistem energi dan keselamatan nuklir.,"analitis, suka fisika, suka teknologi, logis, teliti, suka penelitian, disiplin, suka eksperimen","energi nuklir, reaktor nuklir, radiasi, keselamatan nuklir, fisika nuklir, teknologi energi, radioisotop, instrumentasi nuklir","Jurusan ini mempelajari pemanfaatan energi nuklir dan teknologi radiasi untuk berbagai kebutuhan industri dan kesehatan. Mahasiswa belajar sistem energi dan keselamatan nuklir. Jurusan ini cocok untuk kamu yang analitis, suka fisika, suka teknologi, logis, teliti, suka penelitian, disiplin, suka eksperimen. Topik utama yang dipelajari antara lain: energi nuklir, reaktor nuklir, radiasi, keselamatan nuklir, fisika nuklir, teknologi energi, radioisotop, instrumentasi nuklir."
